"OriginalName","Organizations","Type","CleanName","CleanNameNoMiddle","IsDuplicate",
"Leduc, Raymond","National Research Council of Canada","Govenor In Council Appointments","Leduc, Raymond","Leduc, Raymond","n",
"Scott, Lois","National Research Council of Canada","Govenor In Council Appointments","Scott, Lois","Scott, Lois","n",
"Beaulieu, Marie","National Seniors Council","Govenor In Council Appointments","Beaulieu, Marie","Beaulieu, Marie","n",
"Butti, Olivia","National Seniors Council","Govenor In Council Appointments","Butti, Olivia","Butti, Olivia","n",
"Gionet, Sharron","National Seniors Council","Govenor In Council Appointments","Gionet, Sharron","Gionet, Sharron","n",
"Johnson, Shanthi","National Seniors Council","Govenor In Council Appointments","Johnson, Shanthi","Johnson, Shanthi","n",
"Spadafora, Patricia","National Seniors Council","Govenor In Council Appointments","Spadafora, Patricia","Spadafora, Patricia","n",
"Beauchamp, Yves","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Beauchamp, Yves","Beauchamp, Yves","n",
"Biedermann, Julia","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Biedermann, Julia","Biedermann, Julia","n",
"D'Amours, Sophie","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","D'Amours, Sophie","D'Amours, Sophie","n",
"Kaminska, Bozena","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Kaminska, Bozena","Kaminska, Bozena","n",
"Leuprecht, Christian","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Leuprecht, Christian","Leuprecht, Christian","n",
"Niven, Robert","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Niven, Robert","Niven, Robert","n",
"Rahnama, Hossein","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Rahnama, Hossein","Rahnama, Hossein","n",
"Scarlett, Tracey","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Scarlett, Tracey","Scarlett, Tracey","n",
"Shortreed, Sarah","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Shortreed, Sarah","Shortreed, Sarah","n",
"Weissenberger, John","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Weissenberger, John","Weissenberger, John","n",
"McLean, Carl","North Atlantic Salmon Conservation Organization","Govenor In Council Appointments","McLean, Carl","McLean, Carl","n",
"Nadeau, Richard","North Atlantic Salmon Conservation Organization","Govenor In Council Appointments","Nadeau, Richard","Nadeau, Richard","n",
"Tebb, Terry","North Pacific Anadromous Fish Commission","Govenor In Council Appointments","Tebb, Terry","Tebb, Terry","n",
"Chapman, Bruce","Northwest Atlantic Fisheries Commission","Govenor In Council Appointments","Chapman, Bruce","Chapman, Bruce","n",
"Chidley, Gerard","Northwest Atlantic Fisheries Commission","Govenor In Council Appointments","Chidley, Gerard","Chidley, Gerard","n",
"Stringer, Kevin","Northwest Atlantic Fisheries Commission","Govenor In Council Appointments","Stringer, Kevin","Stringer, Kevin","n",
"Kovic, Ben","Nunavut Wildlife Management Board","Govenor In Council Appointments","Kovic, Ben","Kovic, Ben","n",
"Kritterdlik, David","Nunavut Wildlife Management Board","Govenor In Council Appointments","Kritterdlik, David","Kritterdlik, David","n",
"Ferguson, Michael","Office of the Auditor General of Canada","Govenor In Council Appointments","Ferguson, Michael","Ferguson, Michael","n",
"Mayrand, Marc","Office of the Chief Electoral Officer","Govenor In Council Appointments","Mayrand, Marc","Mayrand, Marc","n",
"Brooks, William","Office of the Commissioner for Federal Judicial Affairs","Govenor In Council Appointments","Brooks, William","Brooks, William","n",
"Fraser, Graham","Office of the Commissioner of Official Languages for Canada","Govenor In Council Appointments","Fraser, Graham","Fraser, Graham","n",
"Plouffe, Jean-Pierre","Office of the Communications Security Establishment Commissioner","Govenor In Council Appointments","Plouffe, Jean-Pierre","Plouffe, Jean-Pierre","n",
"Ballantyne, Meena","Office of the Coordinator (Status of Women Canada)","Govenor In Council Appointments","Ballantyne, Meena","Ballantyne, Meena","n",
"Roussel, Kathleen","Office of the Director of Public Prosecutions","Govenor In Council Appointments","Roussel, Kathleen","Roussel, Kathleen","n",
"Davidson, Jeffrey","Office of the Extractive Sector Corporate Social Responsibility Counsellor","Govenor In Council Appointments","Davidson, Jeffrey","Davidson, Jeffrey","n",
"O'Sullivan, Susan","Office of the Federal Ombudsman for Victims of Crime","Govenor In Council Appointments","O'Sullivan, Susan","O'Sullivan, Susan","n",
"Legault, Suzanne","Office of the Information Commissioner","Govenor In Council Appointments","Legault, Suzanne","Legault, Suzanne","n",
"Walbourne, Gary","Office of the Ombudsperson for the Department of National Defence and the Canadian Forces","Govenor In Council Appointments","Walbourne, Gary","Walbourne, Gary","n",
"Therrien, Daniel","Office of the Privacy Commissioner","Govenor In Council Appointments","Therrien, Daniel","Therrien, Daniel","n",
"Brunetta, Frank","Office of the Procurement Ombudsman","Govenor In Council Appointments","Brunetta, Frank","Brunetta, Frank","n",
"Friday, Joe","Office of the Public Sector Integrity Commissioner","Govenor In Council Appointments","Friday, Joe","Friday, Joe","n",
"Ricard, Lyse","Office of the Senate Ethics Officer","Govenor In Council Appointments","Ricard, Lyse","Ricard, Lyse","n",
"Profit, Sherra","Office of the Taxpayers' Ombudsman","Govenor In Council Appointments","Profit, Sherra","Profit, Sherra","n",
"Lafond, George","Office of the Treaty Commissioner in Saskatchewan","Govenor In Council Appointments","Lafond, George","Lafond, George","n",
"Parent, Guy","Office of the Veterans' Ombudsman","Govenor In Council Appointments","Parent, Guy","Parent, Guy","n",
"Larsen, Edward Clarke (Ted)","Halifax Port Authority","Govenor In Council Appointments","Larsen, Ted","Larsen, Ted","n",
"Prefontaine, Paul","Pacific Pilotage Authority","Govenor In Council Appointments","Prefontaine, Paul","Prefontaine, Paul","n",
"Watson, Daniel","Parks Canada Agency","Govenor In Council Appointments","Watson, Daniel","Watson, Daniel","n",
"Allard, René","Parole Board of Canada","Govenor In Council Appointments","Allard, René","Allard, René","n",
"Andersen, Bent","Parole Board of Canada","Govenor In Council Appointments","Andersen, Bent","Andersen, Bent","n",
"Asselin, Anne-Marie","Parole Board of Canada","Govenor In Council Appointments","Asselin, Anne-Marie","Asselin, Anne-Marie","n",
"Barron, Franèois","Parole Board of Canada","Govenor In Council Appointments","Barron, Franèois","Barron, Franèois","n",
"Bastarache, Maurice","Parole Board of Canada","Govenor In Council Appointments","Bastarache, Maurice","Bastarache, Maurice","n",
"Bélisle, Richard","Parole Board of Canada","Govenor In Council Appointments","Bélisle, Richard","Bélisle, Richard","n",
"Blackburn, Dave","Parole Board of Canada","Govenor In Council Appointments","Blackburn, Dave","Blackburn, Dave","n",
"Bouchard, Jacques","Parole Board of Canada","Govenor In Council Appointments","Bouchard, Jacques","Bouchard, Jacques","n",
"Cadieux, Pierre","Parole Board of Canada","Govenor In Council Appointments","Cadieux, Pierre","Cadieux, Pierre","n",
"Cantin, Francine","Parole Board of Canada","Govenor In Council Appointments","Cantin, Francine","Cantin, Francine","n",
"Cenaiko, Harvey","Parole Board of Canada","Govenor In Council Appointments","Cenaiko, Harvey","Cenaiko, Harvey","n",
"Chapelle, Simon","Parole Board of Canada","Govenor In Council Appointments","Chapelle, Simon","Chapelle, Simon","n",
"Chartrand, Suzanne","Parole Board of Canada","Govenor In Council Appointments","Chartrand, Suzanne","Chartrand, Suzanne","n",
"Crooks Day, Natasha","Parole Board of Canada","Govenor In Council Appointments","Crooks Day, Natasha","Crooks Day, Natasha","n",
"Cross, Linda","Parole Board of Canada","Govenor In Council Appointments","Cross, Linda","Cross, Linda","n",
"Dantzer, Alex","Parole Board of Canada","Govenor In Council Appointments","Dantzer, Alex","Dantzer, Alex","n",
"Dinn, Doreen","Parole Board of Canada","Govenor In Council Appointments","Dinn, Doreen","Dinn, Doreen","n",
"Dubreuil, Steven","Parole Board of Canada","Govenor In Council Appointments","Dubreuil, Steven","Dubreuil, Steven","n",
"Gunn, Gerald","Parole Board of Canada","Govenor In Council Appointments","Gunn, Gerald","Gunn, Gerald","n",
"Haasbeek, Patricia","Parole Board of Canada","Govenor In Council Appointments","Haasbeek, Patricia","Haasbeek, Patricia","n",
"Hall, Laura","Parole Board of Canada","Govenor In Council Appointments","Hall, Laura","Hall, Laura","n",
"Harris, Louise","Parole Board of Canada","Govenor In Council Appointments","Harris, Louise","Harris, Louise","n",
"Johnson, Stephen","Parole Board of Canada","Govenor In Council Appointments","Johnson, Stephen","Johnson, Stephen","n",
"Jolette, Denis","Parole Board of Canada","Govenor In Council Appointments","Jolette, Denis","Jolette, Denis","n",
"Kuban, Ron","Parole Board of Canada","Govenor In Council Appointments","Kuban, Ron","Kuban, Ron","n",
"Lacroix, Hélène","Parole Board of Canada","Govenor In Council Appointments","Lacroix, Hélène","Lacroix, Hélène","n",
"Lafrenière, Michel","Parole Board of Canada","Govenor In Council Appointments","Lafrenière, Michel","Lafrenière, Michel","n",
"Lalonde, Michel","Parole Board of Canada","Govenor In Council Appointments","Lalonde, Michel","Lalonde, Michel","n",
"LeBlanc, Guy","Parole Board of Canada","Govenor In Council Appointments","LeBlanc, Guy","LeBlanc, Guy","n",
"Lennon, Linda","Parole Board of Canada","Govenor In Council Appointments","Lennon, Linda","Lennon, Linda","n",
"Louhela, Lori","Parole Board of Canada","Govenor In Council Appointments","Louhela, Lori","Louhela, Lori","n",
"Majedi, Maryam","Parole Board of Canada","Govenor In Council Appointments","Majedi, Maryam","Majedi, Maryam","n",
"Marshall, Robert","Parole Board of Canada","Govenor In Council Appointments","Marshall, Robert","Marshall, Robert","n",
"McCormick, Mitchell","Parole Board of Canada","Govenor In Council Appointments","McCormick, Mitchell","McCormick, Mitchell","n",
"McGraw, Louis-Philippe","Parole Board of Canada","Govenor In Council Appointments","McGraw, Louis-Philippe","McGraw, Louis-Philippe","n",
"McRae, Gordon","Parole Board of Canada","Govenor In Council Appointments","McRae, Gordon","McRae, Gordon","n",
"Pallascio, Michel","Parole Board of Canada","Govenor In Council Appointments","Pallascio, Michel","Pallascio, Michel","n",
"Plater, Lori","Parole Board of Canada","Govenor In Council Appointments","Plater, Lori","Plater, Lori","n",
"Roussel, Gilles","Parole Board of Canada","Govenor In Council Appointments","Roussel, Gilles","Roussel, Gilles","n",
"Sweet, Paul","Parole Board of Canada","Govenor In Council Appointments","Sweet, Paul","Sweet, Paul","n",
"Tielman, Walter","Parole Board of Canada","Govenor In Council Appointments","Tielman, Walter","Tielman, Walter","n",
"Trowbridge, Chris","Parole Board of Canada","Govenor In Council Appointments","Trowbridge, Chris","Trowbridge, Chris","n",
"Turmel, Paul","Parole Board of Canada","Govenor In Council Appointments","Turmel, Paul","Turmel, Paul","n",
"Vacing, Lorrie","Parole Board of Canada","Govenor In Council Appointments","Vacing, Lorrie","Vacing, Lorrie","n",
"Zuk, Colleen","Parole Board of Canada","Govenor In Council Appointments","Zuk, Colleen","Zuk, Colleen","n",
"Bogoroch, Richard","Patented Medicine Prices Review Board","Govenor In Council Appointments","Bogoroch, Richard","Bogoroch, Richard","n",
"Levine, Mitchell","Patented Medicine Prices Review Board","Govenor In Council Appointments","Levine, Mitchell","Levine, Mitchell","n",
"Tremblay, Normand","Patented Medicine Prices Review Board","Govenor In Council Appointments","Tremblay, Normand","Tremblay, Normand","n",
"Cawley, Sandra","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Cawley, Sandra","Cawley, Sandra","n",
"Chandler, Michael","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Chandler, Michael","Chandler, Michael","n",
"Chevalier, Claude","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Chevalier, Claude","Chevalier, Claude","n",
"Divaris, Gerassimos","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Divaris, Gerassimos","Divaris, Gerassimos","n",
"Laflamme, Jacques","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Laflamme, Jacques","Laflamme, Jacques","n",
"L'Äcuyer, Mathieu","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","L'Äcuyer, Mathieu","L'Äcuyer, Mathieu","n",
"Lester, Shawn","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Lester, Shawn","Lester, Shawn","n",
"Pal, Surinder","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Pal, Surinder","Pal, Surinder","n",
"Rundell, Douglas","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Rundell, Douglas","Rundell, Douglas","n",
"Tyson, Marian","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Tyson, Marian","Tyson, Marian","n",
"White, James","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","White, James","White, James","n",
"Newton, Tim","Permanent Engineering Board","Govenor In Council Appointments","Newton, Tim","Newton, Tim","n",
"Trumper, Gillian","Port Alberni Port Authority","Govenor In Council Appointments","Trumper, Gillian","Trumper, Gillian","n",
"Beck, John","PPP Canada Inc.","Govenor In Council Appointments","Beck, John","Beck, John","n",
"Byers, Rick","PPP Canada Inc.","Govenor In Council Appointments","Byers, Rick","Byers, Rick","n",
"Comper, Anthony","PPP Canada Inc.","Govenor In Council Appointments","Comper, Anthony","Comper, Anthony","n",
"McBride, John","PPP Canada Inc.","Govenor In Council Appointments","McBride, John","McBride, John","n",
"O'Brien, Sheila","PPP Canada Inc.","Govenor In Council Appointments","O'Brien, Sheila","O'Brien, Sheila","n",
"Taylor, Gregory","Public Health Agency of Canada","Govenor In Council Appointments","Taylor, Gregory","Taylor, Gregory","n",
"Barker, Cheryl","Public Sector Pension Investment Board","Govenor In Council Appointments","Barker, Cheryl","Barker, Cheryl","n",
"Bean, Diane","Public Sector Pension Investment Board","Govenor In Council Appointments","Bean, Diane","Bean, Diane","n",
"Bouchard, Micheline","Public Sector Pension Investment Board","Govenor In Council Appointments","Bouchard, Micheline","Bouchard, Micheline","n",
"Courville, Léon","Public Sector Pension Investment Board","Govenor In Council Appointments","Courville, Léon","Courville, Léon","n",
"Gage, Anthony","Public Sector Pension Investment Board","Govenor In Council Appointments","Gage, Anthony","Gage, Anthony","n",
"Garven, Garnet","Public Sector Pension Investment Board","Govenor In Council Appointments","Garven, Garnet","Garven, Garnet","n",
"Glynn, Martin","Public Sector Pension Investment Board","Govenor In Council Appointments","Glynn, Martin","Glynn, Martin","n",
"Haight, Lynn","Public Sector Pension Investment Board","Govenor In Council Appointments","Haight, Lynn","Haight, Lynn","n",
"Hodgson, Timothy","Public Sector Pension Investment Board","Govenor In Council Appointments","Hodgson, Timothy","Hodgson, Timothy","n",
"Mueller, Michael","Public Sector Pension Investment Board","Govenor In Council Appointments","Mueller, Michael","Mueller, Michael","n",
"Deloitte LLP","Public Sector Pension Investment Board","Govenor In Council Appointments","Deloitte LLP","Deloitte LLP","n",
"Deloitte LLP","Public Sector Pension Investment Board","Govenor In Council Appointments","Deloitte LLP","Deloitte LLP","n",
"Bédard, Marie-Josée","Public Servants Disclosure Protection Tribunal","Govenor In Council Appointments","Bédard, Marie-Josée","Bédard, Marie-Josée","n",
"St-Louis, Martine","Public Servants Disclosure Protection Tribunal","Govenor In Council Appointments","St-Louis, Martine","St-Louis, Martine","n",
"Cartwright, Susan","Public Service Commission","Govenor In Council Appointments","Cartwright, Susan","Cartwright, Susan","n",
"Donoghue, Christine","Public Service Commission","Govenor In Council Appointments","Donoghue, Christine","Donoghue, Christine","n",
"Robinson, Anne-Marie","Public Service Commission","Govenor In Council Appointments","Robinson, Anne-Marie","Robinson, Anne-Marie","n",
"Tucker, Daniel","Public Service Commission","Govenor In Council Appointments","Tucker, Daniel","Tucker, Daniel","n",
"Daigle, Nathalie","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Daigle, Nathalie","Daigle, Nathalie","n",
"Ebbs, Catherine","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Ebbs, Catherine","Ebbs, Catherine","n",
"Perrault, Marie-Claire","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Perrault, Marie-Claire","Perrault, Marie-Claire","n",
"Shannon, Margaret","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Shannon, Margaret","Shannon, Margaret","n",
"Aylward, Christopher","Public Service Pension Advisory Committee","Govenor In Council Appointments","Aylward, Christopher","Aylward, Christopher","n",
"Benson, Robyn","Public Service Pension Advisory Committee","Govenor In Council Appointments","Benson, Robyn","Benson, Robyn","n",
"Bittman, Shannon","Public Service Pension Advisory Committee","Govenor In Council Appointments","Bittman, Shannon","Bittman, Shannon","n",
"Cochrane, Ron","Public Service Pension Advisory Committee","Govenor In Council Appointments","Cochrane, Ron","Cochrane, Ron","n",
"Doiron, Michel","Public Service Pension Advisory Committee","Govenor In Council Appointments","Doiron, Michel","Doiron, Michel","n",
"Ellis, Karen","Public Service Pension Advisory Committee","Govenor In Council Appointments","Ellis, Karen","Ellis, Karen","n",
"Forand, Liseanne","Public Service Pension Advisory Committee","Govenor In Council Appointments","Forand, Liseanne","Forand, Liseanne","n",
"Isaacs, Milton","Public Service Pension Advisory Committee","Govenor In Council Appointments","Isaacs, Milton","Isaacs, Milton","n",
"Mounier, Marie-Geneviève","Public Service Pension Advisory Committee","Govenor In Council Appointments","Mounier, Marie-Geneviève","Mounier, Marie-Geneviève","n",
"Poirier, Claude","Public Service Pension Advisory Committee","Govenor In Council Appointments","Poirier, Claude","Poirier, Claude","n",
"Soulière, Jean-Guy","Public Service Pension Advisory Committee","Govenor In Council Appointments","Soulière, Jean-Guy","Soulière, Jean-Guy","n",
"Bernier, Denis","Québec Port Authority","Govenor In Council Appointments","Bernier, Denis","Bernier, Denis","n",
"Rivard, Pierre","Québec Port Authority","Govenor In Council Appointments","Rivard, Pierre","Rivard, Pierre","n",
"Rousseau, Claude","Québec Port Authority","Govenor In Council Appointments","Rousseau, Claude","Rousseau, Claude","n",
"Tremblay, Marie-Soleil","Québec Port Authority","Govenor In Council Appointments","Tremblay, Marie-Soleil","Tremblay, Marie-Soleil","n",
"Allen, Cindy","Renewable Resources Board (Gwich'in)","Govenor In Council Appointments","Allen, Cindy","Allen, Cindy","n",
"Allen, Ronald","Renewable Resources Board (Gwich'in)","Govenor In Council Appointments","Allen, Ronald","Allen, Ronald","n",
"Carnogursky, Jozef","Renewable Resources Board (Gwich'in)","Govenor In Council Appointments","Carnogursky, Jozef","Carnogursky, Jozef","n",
"Charlie, Johnnie","Renewable Resources Board (Gwich'in)","Govenor In Council Appointments","Charlie, Johnnie","Charlie, Johnnie","n",
"Doan, Doug","Renewable Resources Board (Gwich'in)","Govenor In Council Appointments","Doan, Doug","Doan, Doug","n",
"Hunt, Kenneth","Renewable Resources Board (Gwich'in)","Govenor In Council Appointments","Hunt, Kenneth","Hunt, Kenneth","n",
"Jerome, Sarah","Renewable Resources Board (Gwich'in)","Govenor In Council Appointments","Jerome, Sarah","Jerome, Sarah","n",
"Pascal, Eugene","Renewable Resources Board (Gwich'in)","Govenor In Council Appointments","Pascal, Eugene","Pascal, Eugene","n",
"Snowshoe, Charlie","Renewable Resources Board (Gwich'in)","Govenor In Council Appointments","Snowshoe, Charlie","Snowshoe, Charlie","n",
"Allen, Lesley","Renewable Resources Board (Sahtu)","Govenor In Council Appointments","Allen, Lesley","Allen, Lesley","n",
"Barnaby, George","Renewable Resources Board (Sahtu)","Govenor In Council Appointments","Barnaby, George","Barnaby, George","n",
"Bobinski, Patrick","Renewable Resources Board (Sahtu)","Govenor In Council Appointments","Bobinski, Patrick","Bobinski, Patrick","n",
"Kenny, Leonard","Renewable Resources Board (Sahtu)","Govenor In Council Appointments","Kenny, Leonard","Kenny, Leonard","n",
"Latour, Paul","Renewable Resources Board (Sahtu)","Govenor In Council Appointments","Latour, Paul","Latour, Paul","n",
"Neyelle, Michael","Renewable Resources Board (Sahtu)","Govenor In Council Appointments","Neyelle, Michael","Neyelle, Michael","n",
"Rabisca, Camilla","Renewable Resources Board (Sahtu)","Govenor In Council Appointments","Rabisca, Camilla","Rabisca, Camilla","n",
"Walker, Jeff","Renewable Resources Board (Sahtu)","Govenor In Council Appointments","Walker, Jeff","Walker, Jeff","n",
"Nicholson, Fred","Roosevelt Campobello International Park Commission","Govenor In Council Appointments","Nicholson, Fred","Nicholson, Fred","n",
"Dancosse, Guy","Royal Canadian Mint","Govenor In Council Appointments","Dancosse, Guy","Dancosse, Guy","n",
"Dujmovic, Susan","Royal Canadian Mint","Govenor In Council Appointments","Dujmovic, Susan","Dujmovic, Susan","n",
"Hanington, Sandra","Royal Canadian Mint","Govenor In Council Appointments","Hanington, Sandra","Hanington, Sandra","n",
"Harvey, Ghislain","Royal Canadian Mint","Govenor In Council Appointments","Harvey, Ghislain","Harvey, Ghislain","n",
"Joynt, Carman","Royal Canadian Mint","Govenor In Council Appointments","Joynt, Carman","Joynt, Carman","n",
"Skelton, Carol","Royal Canadian Mint","Govenor In Council Appointments","Skelton, Carol","Skelton, Carol","n",
"Staples-Lyon, Bonnie","Royal Canadian Mint","Govenor In Council Appointments","Staples-Lyon, Bonnie","Staples-Lyon, Bonnie","n",
"Walker, Elizabeth","Royal Canadian Mounted Police External Review Committee","Govenor In Council Appointments","Walker, Elizabeth","Walker, Elizabeth","n",
"Bergeron, Jean-Guy","Saguenay Port Authority","Govenor In Council Appointments","Bergeron, Jean-Guy","Bergeron, Jean-Guy","n",
"Bonneau, Jean-Guy","Saguenay Port Authority","Govenor In Council Appointments","Bonneau, Jean-Guy","Bonneau, Jean-Guy","n",
"Bouchard, Martial","Saguenay Port Authority","Govenor In Council Appointments","Bouchard, Martial","Bouchard, Martial","n",
"Gagnon, Lauraine","Saguenay Port Authority","Govenor In Council Appointments","Gagnon, Lauraine","Gagnon, Lauraine","n",
"Harvey, Jean-Sébastien","Saguenay Port Authority","Govenor In Council Appointments","Harvey, Jean-Sébastien","Harvey, Jean-Sébastien","n",
"Blais, Pierre","Security Intelligence Review Committee","Govenor In Council Appointments","Blais, Pierre","Blais, Pierre","n",
"Morin, Marie-Lucie","Security Intelligence Review Committee","Govenor In Council Appointments","Morin, Marie-Lucie","Morin, Marie-Lucie","n",
"Robert, Charles","Senate","Govenor In Council Appointments","Robert, Charles","Robert, Charles","n",
"Cªté, Pierre","Sept-‘les Port Authority","Govenor In Council Appointments","Cªté, Pierre","Cªté, Pierre","n",
"Langlois, Manon","Sept-‘les Port Authority","Govenor In Council Appointments","Langlois, Manon","Langlois, Manon","n",
"Ouellet, Avit","Sept-‘les Port Authority","Govenor In Council Appointments","Ouellet, Avit","Ouellet, Avit","n",
"Turmel, Franèois","Sept-‘les Port Authority","Govenor In Council Appointments","Turmel, Franèois","Turmel, Franèois","n",
"Arthur, Mairi","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Arthur, Mairi","Arthur, Mairi","n",
"Audet, Josée","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Audet, Josée","Audet, Josée","n",
"Cooke, Neil","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Cooke, Neil","Cooke, Neil","n",
"Dufour, Jean-Marie","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Dufour, Jean-Marie","Dufour, Jean-Marie","n",
"Dybenko, Ginny","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Dybenko, Ginny","Dybenko, Ginny","n",
"Horgan, Patrick","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Horgan, Patrick","Horgan, Patrick","n",
"Schnarr, Karin","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Schnarr, Karin","Schnarr, Karin","n",
"Thibodeau-DeGuire, Michèle","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Thibodeau-DeGuire, Michèle","Thibodeau-DeGuire, Michèle","n",
"Watters, Carolyn","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Watters, Carolyn","Watters, Carolyn","n",
"Ahlfeld, Pamila","Social Security Tribunal","Govenor In Council Appointments","Ahlfeld, Pamila","Ahlfeld, Pamila","n",
"Antonichuk, Rodney","Social Security Tribunal","Govenor In Council Appointments","Antonichuk, Rodney","Antonichuk, Rodney","n",
"Bhullar, Jatinder","Social Security Tribunal","Govenor In Council Appointments","Bhullar, Jatinder","Bhullar, Jatinder","n",
"Blanchard, Joanne","Social Security Tribunal","Govenor In Council Appointments","Blanchard, Joanne","Blanchard, Joanne","n",
"Boudreault, Alcide","Social Security Tribunal","Govenor In Council Appointments","Boudreault, Alcide","Boudreault, Alcide","n",
"Bourque, Charline","Social Security Tribunal","Govenor In Council Appointments","Bourque, Charline","Bourque, Charline","n",
"Brazeau, Murielle","Social Security Tribunal","Govenor In Council Appointments","Brazeau, Murielle","Brazeau, Murielle","n",
"Broad, Patricia","Social Security Tribunal","Govenor In Council Appointments","Broad, Patricia","Broad, Patricia","n",
"Cardillo, Antoinette","Social Security Tribunal","Govenor In Council Appointments","Cardillo, Antoinette","Cardillo, Antoinette","n",
"Cheng, Shu-Tai","Social Security Tribunal","Govenor In Council Appointments","Cheng, Shu-Tai","Cheng, Shu-Tai","n",
"Durand, Claude","Social Security Tribunal","Govenor In Council Appointments","Durand, Claude","Durand, Claude","n",
"Gaily, Margaret","Social Security Tribunal","Govenor In Council Appointments","Gaily, Margaret","Gaily, Margaret","n",
"Lafontaine, Pierre","Social Security Tribunal","Govenor In Council Appointments","Lafontaine, Pierre","Lafontaine, Pierre","n",
"Leduc, Lucie","Social Security Tribunal","Govenor In Council Appointments","Leduc, Lucie","Leduc, Lucie","n",
"Lew, Janet","Social Security Tribunal","Govenor In Council Appointments","Lew, Janet","Lew, Janet","n",
"Lucas, Brisette","Social Security Tribunal","Govenor In Council Appointments","Lucas, Brisette","Lucas, Brisette","n",
"Martel, John","Social Security Tribunal","Govenor In Council Appointments","Martel, John","Martel, John","n",
"Mondou, Nicole","Social Security Tribunal","Govenor In Council Appointments","Mondou, Nicole","Mondou, Nicole","n",
"Morin, Normand","Social Security Tribunal","Govenor In Council Appointments","Morin, Normand","Morin, Normand","n",
"O'Neil, Patrick","Social Security Tribunal","Govenor In Council Appointments","O'Neil, Patrick","O'Neil, Patrick","n",
"Palantzas, Eleni","Social Security Tribunal","Govenor In Council Appointments","Palantzas, Eleni","Palantzas, Eleni","n",
"Pappas, Takis","Social Security Tribunal","Govenor In Council Appointments","Pappas, Takis","Pappas, Takis","n",
"Payment, Jean-Philippe","Social Security Tribunal","Govenor In Council Appointments","Payment, Jean-Philippe","Payment, Jean-Philippe","n",
"Qiao, Shuang","Social Security Tribunal","Govenor In Council Appointments","Qiao, Shuang","Qiao, Shuang","n",
"Raphael, Raymond","Social Security Tribunal","Govenor In Council Appointments","Raphael, Raymond","Raphael, Raymond","n",
"Ross, Hazelyn","Social Security Tribunal","Govenor In Council Appointments","Ross, Hazelyn","Ross, Hazelyn","n",
"Rouleau, Aline","Social Security Tribunal","Govenor In Council Appointments","Rouleau, Aline","Rouleau, Aline","n",
"Russell, Shannon","Social Security Tribunal","Govenor In Council Appointments","Russell, Shannon","Russell, Shannon","n",
"Shamatutu, Freda","Social Security Tribunal","Govenor In Council Appointments","Shamatutu, Freda","Shamatutu, Freda","n",
"Smith, Susan","Social Security Tribunal","Govenor In Council Appointments","Smith, Susan","Smith, Susan","n",
"Temkin, Kelly","Social Security Tribunal","Govenor In Council Appointments","Temkin, Kelly","Temkin, Kelly","n",
"Trojek, Heather","Social Security Tribunal","Govenor In Council Appointments","Trojek, Heather","Trojek, Heather","n",
"Wilton, Carol","Social Security Tribunal","Govenor In Council Appointments","Wilton, Carol","Wilton, Carol","n",
"Mainville, Johanne","Specific Claims Tribunal","Govenor In Council Appointments","Mainville, Johanne","Mainville, Johanne","n",
"Morrissey, Roxanne","St. John's Port Authority","Govenor In Council Appointments","Morrissey, Roxanne","Morrissey, Roxanne","n",
